2026-06-04 20:16:31 | INFO | pipeline | ==================================================
2026-06-04 20:16:31 | INFO | pipeline | SPACE AUTOPILOT PIPELINE STARTED
2026-06-04 20:16:31 | INFO | pipeline | ==================================================
2026-06-04 20:16:31 | INFO | pipeline | Checking MoneyPrinterTurbo at http://localhost:8080...
2026-06-04 20:16:31 | DEBUG | urllib3.connectionpool | Starting new HTTP connection (1): localhost:8080
2026-06-04 20:16:31 | DEBUG | urllib3.connectionpool | Starting new HTTP connection (1): localhost:8080
2026-06-04 20:16:31 | DEBUG | urllib3.connectionpool | Starting new HTTP connection (1): localhost:8080
2026-06-04 20:16:31 | ERROR | pipeline | MoneyPrinterTurbo is NOT running
2026-06-04 20:16:31 | ERROR | pipeline | Start it: cd MoneyPrinterTurbo && python main.py
2026-06-04 20:26:56 | INFO | pipeline | ==================================================
2026-06-04 20:26:56 | INFO | pipeline | SPACE AUTOPILOT PIPELINE STARTED
2026-06-04 20:26:56 | INFO | pipeline | ==================================================
2026-06-04 20:26:56 | INFO | pipeline | Checking MoneyPrinterTurbo at http://localhost:8080...
2026-06-04 20:26:56 | DEBUG | urllib3.connectionpool | Starting new HTTP connection (1): localhost:8080
2026-06-04 20:26:56 | DEBUG | urllib3.connectionpool | http://localhost:8080 "GET /api/health HTTP/1.1" 404 22
2026-06-04 20:26:56 | DEBUG | urllib3.connectionpool | Starting new HTTP connection (1): localhost:8080
2026-06-04 20:26:56 | DEBUG | urllib3.connectionpool | http://localhost:8080 "GET /docs HTTP/1.1" 200 1016
2026-06-04 20:26:56 | INFO | video_creator | MoneyPrinterTurbo reachable at http://localhost:8080/docs
2026-06-04 20:26:56 | INFO | pipeline | MoneyPrinterTurbo: OK
2026-06-04 20:26:56 | INFO | pipeline | Title: What Really Happens If You Fall Into a Black Hole?
2026-06-04 20:26:56 | INFO | pipeline | Generating script, description and tags via Gemini...
2026-06-04 20:26:56 | INFO | idea_generator | Attempting LLM call via Gemini...
2026-06-04 20:26:56 | WARNING | idea_generator | Gemini API call failed: GEMINI_API_KEY is not set. Falling back to Groq...
2026-06-04 20:26:56 | WARNING | idea_generator | Script generation attempt 1 failed: All Groq keys failed: None
2026-06-04 20:27:01 | INFO | idea_generator | Attempting LLM call via Gemini...
2026-06-04 20:27:01 | WARNING | idea_generator | Gemini API call failed: GEMINI_API_KEY is not set. Falling back to Groq...
2026-06-04 20:27:01 | WARNING | idea_generator | Script generation attempt 2 failed: All Groq keys failed: None
2026-06-04 20:27:06 | INFO | idea_generator | Attempting LLM call via Gemini...
2026-06-04 20:27:06 | WARNING | idea_generator | Gemini API call failed: GEMINI_API_KEY is not set. Falling back to Groq...
2026-06-04 20:27:06 | WARNING | idea_generator | Script generation attempt 3 failed: All Groq keys failed: None
2026-06-04 20:27:06 | INFO | idea_generator | Attempting LLM call via Gemini...
2026-06-04 20:27:06 | WARNING | idea_generator | Gemini API call failed: GEMINI_API_KEY is not set. Falling back to Groq...
2026-06-04 20:27:06 | WARNING | idea_generator | Description generation attempt 1 failed: All Groq keys failed: None
2026-06-04 20:27:11 | INFO | idea_generator | Attempting LLM call via Gemini...
2026-06-04 20:27:11 | WARNING | idea_generator | Gemini API call failed: GEMINI_API_KEY is not set. Falling back to Groq...
2026-06-04 20:27:11 | WARNING | idea_generator | Description generation attempt 2 failed: All Groq keys failed: None
2026-06-04 20:27:16 | INFO | idea_generator | Attempting LLM call via Gemini...
2026-06-04 20:27:16 | WARNING | idea_generator | Gemini API call failed: GEMINI_API_KEY is not set. Falling back to Groq...
2026-06-04 20:27:16 | WARNING | idea_generator | Description generation attempt 3 failed: All Groq keys failed: None
2026-06-04 20:27:16 | INFO | idea_generator | Attempting LLM call via Gemini...
2026-06-04 20:27:16 | WARNING | idea_generator | Gemini API call failed: GEMINI_API_KEY is not set. Falling back to Groq...
2026-06-04 20:27:16 | WARNING | idea_generator | Tag generation attempt 1 failed: All Groq keys failed: None
2026-06-04 20:27:21 | INFO | idea_generator | Attempting LLM call via Gemini...
2026-06-04 20:27:21 | WARNING | idea_generator | Gemini API call failed: GEMINI_API_KEY is not set. Falling back to Groq...
2026-06-04 20:27:21 | WARNING | idea_generator | Tag generation attempt 2 failed: All Groq keys failed: None
2026-06-04 20:27:26 | INFO | idea_generator | Attempting LLM call via Gemini...
2026-06-04 20:27:26 | WARNING | idea_generator | Gemini API call failed: GEMINI_API_KEY is not set. Falling back to Groq...
2026-06-04 20:27:26 | WARNING | idea_generator | Tag generation attempt 3 failed: All Groq keys failed: None
2026-06-04 20:27:26 | INFO | pipeline | Script: 84 words | Tags: 10
2026-06-04 20:27:26 | INFO | idea_generator | Attempting LLM call via Gemini...
2026-06-04 20:27:26 | WARNING | idea_generator | Gemini API call failed: GEMINI_API_KEY is not set. Falling back to Groq...
2026-06-04 20:27:26 | WARNING | idea_generator | Video terms generation attempt 1 failed: All Groq keys failed: None
2026-06-04 20:27:31 | INFO | idea_generator | Attempting LLM call via Gemini...
2026-06-04 20:27:31 | WARNING | idea_generator | Gemini API call failed: GEMINI_API_KEY is not set. Falling back to Groq...
2026-06-04 20:27:31 | WARNING | idea_generator | Video terms generation attempt 2 failed: All Groq keys failed: None
2026-06-04 20:27:36 | INFO | idea_generator | Attempting LLM call via Gemini...
